StrategyID,IndexName,EntryDate,ExitDate,Expiry,EntryDay,ExitDay,EntryTime,ExitTime,ATR,EntrySpot,ExitSpot,CEStrike,EntCEPr,ExitCEPr,PEStrike,EntPEPr,ExitPEPr,SLStrike,ExitType,ExitOptionType,ExitOn,TradeStatus,PNLCE,PNLPE,PNL,TotalPNL
SSBT039,Nifty,31/10/2023,31/10/2023,02/11/2023,Tuesday,Tuesday,13:30:59,13:35:59,26,19139,19093.0,19150,59.75,51.0,0,0.0,0.0,19100.0,StopLossHit,CE,Open,Completed,-8.75,0.0,-9.0,-656.25
SSBT039,Nifty,01/11/2023,01/11/2023,02/11/2023,Wednesday,Wednesday,12:15:59,12:19:59,13,19079,19057.0,19100,42.65,41.4,0,0.0,0.0,19059.0,StopLossHit,CE,Open,Completed,-1.25,0.0,-1.0,-93.75
SSBT039,Nifty,02/11/2023,02/11/2023,02/11/2023,Thursday,Thursday,11:42:59,12:13:59,15,19081,19078.0,0,0.0,0.0,19100,23.0,32.9,,TimeExit,,Close,Completed,0.0,9.9,10.0,742.5
SSBT039,Nifty,03/11/2023,03/11/2023,09/11/2023,Friday,Friday,12:40:59,13:11:59,9,19285,19275.0,19300,78.2,77.55,0,0.0,0.0,,TimeExit,,Close,Completed,-0.65,0.0,-1.0,-48.75
SSBT039,Nifty,06/11/2023,06/11/2023,09/11/2023,Monday,Monday,10:15:59,10:46:59,19,19388,19364.0,19400,61.9,56.2,0,0.0,0.0,,TimeExit,,Close,Completed,-5.7,0.0,-6.0,-427.5
SSBT039,Nifty,07/11/2023,07/11/2023,09/11/2023,Tuesday,Tuesday,11:40:59,11:45:59,12,19387,19347.0,0,0.0,0.0,19400,62.3,79.1,,TargetHit,PE,Low,Completed,0.0,16.8,17.0,1260.0
SSBT039,Nifty,08/11/2023,08/11/2023,09/11/2023,Wednesday,Wednesday,11:10:59,11:37:59,15,19412,19435.0,0,0.0,0.0,19400,37.55,33.1,19434.0,StopLossHit,PE,Open,Completed,0.0,-4.45,-4.0,-333.75
SSBT039,Nifty,09/11/2023,09/11/2023,09/11/2023,Thursday,Thursday,10:26:59,10:57:59,15,19417,19417.0,0,0.0,0.0,19400,11.3,13.8,,TimeExit,,Close,Completed,0.0,2.5,2.0,187.5
SSBT039,Nifty,10/11/2023,10/11/2023,16/11/2023,Friday,Friday,10:36:59,11:07:59,16,19389,19382.0,19400,74.1,75.6,0,0.0,0.0,,TimeExit,,Close,Completed,1.5,0.0,2.0,112.5
SSBT039,Nifty,13/11/2023,13/11/2023,16/11/2023,Monday,Monday,13:30:59,14:01:59,11,19461,19458.0,19450,64.6,65.55,0,0.0,0.0,,TimeExit,,Close,Completed,0.95,0.0,1.0,71.25
